D12Ertd553e
Pacsin2
Lrrc3b
Uqcrb
Tnfaip1
Gchfr
Slitrk6
A930038C07Rik
F13a1
Chd6
Mbp
Stmn2
9630031F12Rik
Notch3
Yipf1
Lgtn
Nef3
Il13ra1
Ninj1
Azin1
Ostf1
Cyln2
Gria3
Kcnj3
Sipa1l2
LOC433088
Ywhab
Fgf1
Prkcd
Scd3
0610010F05Rik
Pltp
Slc39a5
Cyp27a1
Myo1b
Fst
Rps12
Slc20a1
Parp8
2610017I09Rik
Ddn
Plf
Slc36a1
Opn1sw
Chd5
Mgat5
Slc29a1
Scrn1
Nsf
Mtch2
Fat4
Plxnd1
4931406I20Rik
Nqo1
Trpv4
Setd7
Sorcs2
Homer3
Dpysl3
BC031181
Calca
Pcyt1b
Chrm2
Centd1
Egr1
Pkig
Sqle
Syt13
Glra1
Sbk1
Chchd2
6330527O06Rik
Nrgn
Gpr37l1
Cpne7
C230030N03Rik
Gm196
Serpina3k
Lrp1b
Ldlr
Fabp7
Baiap2
Gng13
Rgs20
Dusp5
Isyna1
Otud6b
Tshz2
Slc39a14
Prpf6
Itm2a
Nrxn1
Ankrd25
Bckdhb
Usp14
Htr1b
B430201A12Rik
Olfml3
Ctsz
Gosr2
